technicianid,name,phonenumber,email,skills,experience,certifications,address,location,ratingsreceived
1,Erik Okta Lestari,+6287265995831,eriklestari@gmail.com,"Computer Installation, AC Repair",13,,Gg. Rawamangun No. 019,Bitung,4.2
2,Raisa Lasmono Najmudin,+6287452722533,raisanajmudin@gmail.com,"Washing Machine Maintenance, Electrical Repair",4,,Gg. Rumah Sakit No. 74,Tegal,4.6
3,Tasnim Utama,+62829038854284,tasnimutama@gmail.com,"AC Maintenance, Plumbing Installation",4,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Jl. Yos Sudarso No. 720,Jayapura,4.9
4,Warji Ghani Wahyudin,+6289233671587,warjiwahyudin@gmail.com,"Computer Repair, Plumbing Repair",2,,Jl. Rajawali Timur No. 95,Pariaman,5.0
5,Tania Jailani,+6282057406206,taniajailani@gmail.com,"Plumbing Installation, Computer Repair",3,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gg. Monginsidi No. 200,Bogor,4.0
6,Tira Napitupulu,+62890417369904,tiranapitupulu@gmail.com,"Electrical Maintenance, Computer Repair",9,"Sertifikasi K3 Teknisi Listrik, Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior",Gang Gegerkalong Hilir No. 9,Surabaya,4.7
7,Kawaya Reksa Waluyo,+62890155788492,kawayawaluyo@gmail.com,"Electrical Repair, Plumbing Maintenance",2,,Gg. Dr. Djunjunan No. 270,Purwokerto,4.5
8,Gawati Prayoga,+6289544980399,gawatiprayoga@gmail.com,"Washing Machine Installation, AC Maintenance",1,Sertifikasi Teknisi Refrigerasi dan Tata Udara,Gg. Ir. H. Djuanda No. 5,Tebingtinggi,3.6
9,Rahayu Widodo,+6283902982023,rahayuwidodo@gmail.com,"Electrical Maintenance, Washing Machine Installation",5,,Jalan Suniaraja No. 73,Ternate,4.5
10,Aris Nababan,+62883213340709,arisnababan@gmail.com,"Plumbing Installation, Refrigerator Maintenance",4,"SKA Ahli Teknik Plambing dan Pompa Mekanika, Sertifikasi Profesi Teknik Pendingin",Jl. Ir. H. Djuanda No. 639,Prabumulih,4.8
11,Cagak Nuraini,+6289404512372,cagaknuraini@gmail.com,"Washing Machine Installation, Plumbing Repair",2,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gang Sadang Serang No. 8,Subulussalam,3.7
12,Bahuwarna Kayla Winarno,+6281825191880,bahuwarnawinarno@gmail.com,"Refrigerator Maintenance, Computer Maintenance",3,Sertifikasi Teknisi Refrigerasi,Jl. Tebet Barat Dalam No. 618,Serang,4.8
13,Danu Suwarno,+6283004928526,danusuwarno@gmail.com,"Washing Machine Installation, Electrical Repair",9,Sertifikasi K3 Teknisi Listrik,Gang S. Parman No. 7,Pariaman,4.7
14,Arsipatra Danu Saefullah,+6283022194324,arsipatrasaefullah@gmail.com,"Computer Maintenance, Electrical Maintenance",4,Sertifikasi K3 Teknisi Listrik,Jl. Pacuan Kuda No. 51,Kediri,4.5
15,Asirwada Wibisono,+62856120332139,asirwadawibisono@gmail.com,"Washing Machine Installation, AC Repair",5,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jl. Rajiman No. 530,Palu,4.8
16,Jayadi Luluh Wahyuni,+6286059402363,jayadiwahyuni@gmail.com,"Refrigerator Maintenance, Washing Machine Repair",2,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Gg. Otto Iskandardinata No. 105,Bau-Bau,5.0
17,Kacung Andriani,+6286960801718,kacungandriani@gmail.com,"Washing Machine Installation, AC Repair",2,"Sertifikasi LSP Elektronika Teknisi Mesin Cuci, Sertifikasi Teknisi Refrigerasi dan Tata Udara",Jalan Monginsidi No. 90,Cimahi,4.5
18,Juli Wardi Kuswandari,+6285559743248,julikuswandari@gmail.com,"Plumbing Repair, AC Repair",1,,Jalan Jakarta No. 661,Sawahlunto,4.0
19,Gandewa Mulya Sudiati,+62837293177052,gandewasudiati@gmail.com,"AC Installation, Computer Installation",5,,Jalan Cikutra Timur No. 413,Sorong,4.0
20,Asmuni Pranawa Wahyudin,+6284348323030,asmuniwahyudin@gmail.com,"AC Maintenance, Plumbing Installation",5,,Gang Gegerkalong Hilir No. 8,Mojokerto,4.7
21,Nardi Laras Lazuardi,+62884808224121,nardilazuardi@gmail.com,"Computer Repair, Electrical Installation",2,"Sertifikat Kompetensi BNSP Teknisi Komputer Muda, Sertifikasi K3 Teknisi Listrik",Jl. Suryakencana No. 89,Tangerang Selatan,4.8
22,Prasetya Labuh Uyainah,+62815304287050,prasetyauyainah@gmail.com,"AC Repair, Plumbing Repair",5,"Sertifikasi Profesi Teknik Pendingin dan Tata Udara, Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase",Gang Cikutra Timur No. 2,Pasuruan,4.8
23,Farhunnisa Viman Laksmiwati,+62810520173641,farhunnisalaksmiwati@gmail.com,"Plumbing Installation, Computer Installation",12,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jalan Cihampelas No. 893,Tidore Kepulauan,3.8
24,Zelda Lazuardi,+62868543534538,zeldalazuardi@gmail.com,"Refrigerator Maintenance, Washing Machine Maintenance",2,,Jalan PHH. Mustofa No. 82,Semarang,3.6
